date,price_sterling,period
10/01/2018,44.6,3
10/01/2018,44.42,4
10/01/2018,44.48,5
10/01/2018,45.81,6
10/01/2018,57.55,7
10/01/2018,53.46,8
10/01/2018,61.5,9
10/01/2018,58.82,10
10/01/2018,55,11
10/01/2018,52,12
10/01/2018,51,13
10/01/2018,50,14
10/01/2018,50.24,15
10/01/2018,56.44,16
10/01/2018,75.94,17
10/01/2018,101.79,18
10/01/2018,87.94,19
10/01/2018,72.45,20
10/01/2018,64.66,21
10/01/2018,53.9,22
10/01/2018,48,23
11/01/2018,47.93,0
11/01/2018,45.51,1
11/01/2018,44.16,2
11/01/2018,44.01,3
11/01/2018,43.33,4
11/01/2018,43.03,5
11/01/2018,43.17,6
11/01/2018,48.43,7
11/01/2018,52.55,8
11/01/2018,54.14,9
11/01/2018,60.1,10
11/01/2018,60.08,11
11/01/2018,53.99,12
11/01/2018,55.4,13
11/01/2018,53.1,14
11/01/2018,51.85,15
11/01/2018,61,16
11/01/2018,83.89,17
11/01/2018,100,18
11/01/2018,81,19
11/01/2018,60.1,20
11/01/2018,60.2,21
11/01/2018,56.51,22
11/01/2018,46.91,23
12/01/2018,48.89,0
12/01/2018,45.99,1
12/01/2018,45.89,2
12/01/2018,45.23,3
12/01/2018,44.05,4
12/01/2018,42.57,5
12/01/2018,43.4,6
12/01/2018,48.43,7
12/01/2018,53.06,8
12/01/2018,60.2,9
12/01/2018,61.94,10
12/01/2018,58.5,11
12/01/2018,54.5,12
12/01/2018,52.11,13
12/01/2018,49.12,14
12/01/2018,47,15
12/01/2018,48.11,16
12/01/2018,57.51,17
12/01/2018,79.89,18
12/01/2018,60.43,19
12/01/2018,54.92,20
12/01/2018,51.52,21
12/01/2018,44.34,22
12/01/2018,41.39,23
13/01/2018,51,0
13/01/2018,48.86,1
13/01/2018,56.01,2
13/01/2018,45.9,3
13/01/2018,42.64,4
13/01/2018,39.82,5
13/01/2018,37,6
13/01/2018,40.54,7
13/01/2018,42.32,8
13/01/2018,45,9
13/01/2018,53.45,10
13/01/2018,52.1,11
13/01/2018,55.36,12
13/01/2018,58,13
13/01/2018,54.55,14
13/01/2018,46.1,15
13/01/2018,50,16
13/01/2018,56,17
13/01/2018,79.92,18
13/01/2018,68.89,19
13/01/2018,49.42,20
13/01/2018,56.9,21
13/01/2018,52.02,22
13/01/2018,48.55,23
14/01/2018,54,0
14/01/2018,48.12,1
14/01/2018,49.95,2
14/01/2018,48,3
14/01/2018,44.92,4
14/01/2018,41.06,5
14/01/2018,38.02,6
14/01/2018,39.95,7
14/01/2018,40,8
14/01/2018,48,9
14/01/2018,47,10
14/01/2018,55.5,11
14/01/2018,54.14,12
14/01/2018,58,13
14/01/2018,49.76,14
14/01/2018,45,15
14/01/2018,45,16
14/01/2018,60.5,17
14/01/2018,83,18
14/01/2018,57.03,19
14/01/2018,50,20
14/01/2018,52.53,21
14/01/2018,46.62,22
14/01/2018,40,23
15/01/2018,43.39,0
15/01/2018,44.95,1
15/01/2018,44.99,2
15/01/2018,40.56,3
15/01/2018,40.08,4
15/01/2018,36.23,5
15/01/2018,41.5,6
15/01/2018,51,7
15/01/2018,48.11,8
15/01/2018,46.83,9
15/01/2018,57,10
15/01/2018,57,11
15/01/2018,53.5,12
15/01/2018,53,13
15/01/2018,46.8,14
15/01/2018,45,15
15/01/2018,45.58,16
15/01/2018,53,17
15/01/2018,73.16,18
15/01/2018,64.18,19
15/01/2018,60,20
15/01/2018,50.7,21
15/01/2018,50.01,22
